"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"53",2016-09-23,2016-09-24,"zr2","Dartford Town Centre Roadside","no2",109.809375,52,12,1,24,"ugm-3","daily_mean",3,"kentu"
"54",2016-09-24,2016-09-25,"zr2","Dartford Town Centre Roadside","no2",94.270313,52,12,1,24,"ugm-3","daily_mean",3,"kentu"
"55",2016-09-23,2016-09-24,"zr3","Dartford Bean Interchange Roadside","no2",93.234375,54,12,1,24,"ugm-3","daily_mean",3,"kentu"
"56",2016-09-24,2016-09-25,"zr3","Dartford Bean Interchange Roadside","no2",44.864062,54,12,1,24,"ugm-3","daily_mean",3,"kentu"
"57",2016-09-23,2016-09-24,"zr3","Dartford Bean Interchange Roadside","pm10",28.75,55,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"58",2016-09-24,2016-09-25,"zr3","Dartford Bean Interchange Roadside","pm10",25.583333,55,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"59",2016-09-23,2016-09-24,"zt4","Tunbridge Wells A26 Roadside","no2",30.759375,66,12,1,24,"ugm-3","daily_mean",3,"kentu"
"60",2016-09-24,2016-09-25,"zt4","Tunbridge Wells A26 Roadside","no2",28.129688,66,12,1,24,"ugm-3","daily_mean",3,"kentu"
"61",2016-09-23,2016-09-24,"zt4","Tunbridge Wells A26 Roadside","pm10",22.666667,67,12,1,111,"ugm-3 (TEOM)","daily_mean",7,"kentu"
"62",2016-09-24,2016-09-25,"zt4","Tunbridge Wells A26 Roadside","pm10",17.333333,67,12,1,111,"ugm-3 (TEOM)","daily_mean",7,"kentu"
"63",2016-09-23,2016-09-24,"zt5","Tonbridge Roadside 2","no2",64.06875,241,12,1,24,"ugm-3","daily_mean",3,"kentu"
"64",2016-09-24,2016-09-25,"zt5","Tonbridge Roadside 2","no2",34.823438,241,12,1,24,"ugm-3","daily_mean",3,"kentu"
"65",2016-09-23,2016-09-24,"zw3","Swale Ospringe Roadside 2","no2",38.329687,68,12,1,24,"ugm-3","daily_mean",3,"kentu"
"66",2016-09-24,2016-09-25,"zw3","Swale Ospringe Roadside 2","no2",14.98125,68,12,1,24,"ugm-3","daily_mean",3,"kentu"
"67",2016-09-23,2016-09-24,"zw3","Swale Ospringe Roadside 2","pm10",17.625,278,12,1,111,"ugm-3 (TEOM)","daily_mean",7,"kentu"
"68",2016-09-24,2016-09-25,"zw3","Swale Ospringe Roadside 2","pm10",16.333333,278,12,1,111,"ugm-3 (TEOM)","daily_mean",7,"kentu"
"69",2016-09-23,2016-09-24,"zw6","Swale Newington 3","no2",43.270312,296,12,1,24,"ugm-3","daily_mean",3,"kentu"
"70",2016-09-24,2016-09-25,"zw6","Swale Newington 3","no2",20.957812,296,12,1,24,"ugm-3","daily_mean",3,"kentu"
"71",2016-09-23,2016-09-24,"zw8","Swale St Pauls Street","no2",34.903125,308,12,1,24,"ugm-3","daily_mean",3,"kentu"
"72",2016-09-24,2016-09-25,"zw8","Swale St Pauls Street","no2",28.36875,308,12,1,24,"ugm-3","daily_mean",3,"kentu"
"73",2016-09-23,2016-09-24,"zy3","Canterbury Military Road","no2",67.734375,243,12,1,24,"ugm-3","daily_mean",3,"kentu"
"74",2016-09-24,2016-09-25,"zy3","Canterbury Military Road","no2",58.092188,243,12,1,24,"ugm-3","daily_mean",3,"kentu"
