"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","verify_id","validity_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"37",2016-08-15,2016-08-16,"agrn","Birmingham Acocks Green","pm25",9.866667,72915,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"38",2016-08-16,2016-08-17,"agrn","Birmingham Acocks Green","pm25",8.125,72915,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"39",2016-08-17,2016-08-18,"agrn","Birmingham Acocks Green","pm25",13.656522,72915,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"40",2016-08-18,2016-08-19,"agrn","Birmingham Acocks Green","pm25",16.216667,72915,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"41",2016-08-15,2016-08-16,"ah","Aston Hill","o3",68.884912,49,12,1,0,0,24,"ugm-3","daily_mean",14,"rural"
"42",2016-08-16,2016-08-17,"ah","Aston Hill","o3",71.088497,49,12,1,0,0,24,"ugm-3","daily_mean",14,"rural"
"43",2016-08-17,2016-08-18,"ah","Aston Hill","o3",88.575818,49,12,1,0,0,24,"ugm-3","daily_mean",14,"rural"
"44",2016-08-18,2016-08-19,"ah","Aston Hill","o3",85.748577,49,12,1,0,0,24,"ugm-3","daily_mean",14,"rural"
"45",2016-08-15,2016-08-16,"ah","Aston Hill","no2",2.972344,61506,12,1,0,0,24,"ugm-3","daily_mean",16,"rural"
"46",2016-08-16,2016-08-17,"ah","Aston Hill","no2",4.103906,61506,12,1,0,0,24,"ugm-3","daily_mean",16,"rural"
"47",2016-08-17,2016-08-18,"ah","Aston Hill","no2",4.159688,61506,12,1,0,0,24,"ugm-3","daily_mean",16,"rural"
"48",2016-08-18,2016-08-19,"ah","Aston Hill","no2",9.235781,61506,12,1,0,0,24,"ugm-3","daily_mean",16,"rural"
"49",2016-08-15,2016-08-16,"arm6","Armagh Roadside","no2",16.559062,66282,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"50",2016-08-16,2016-08-17,"arm6","Armagh Roadside","no2",18.033281,66282,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"51",2016-08-17,2016-08-18,"arm6","Armagh Roadside","no2",29.380781,66282,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"52",2016-08-18,2016-08-19,"arm6","Armagh Roadside","no2",26.854688,66282,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"53",2016-08-15,2016-08-16,"balm","Ballymena Ballykeel","no2",14.503125,76029,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"54",2016-08-16,2016-08-17,"balm","Ballymena Ballykeel","no2",19.300312,76029,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"55",2016-08-17,2016-08-18,"balm","Ballymena Ballykeel","no2",27.914531,76029,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"56",2016-08-18,2016-08-19,"balm","Ballymena Ballykeel","no2",22.704107,76029,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"57",2016-08-15,2016-08-16,"bar3","Barnsley Gawber","o3",35.931277,331,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"58",2016-08-16,2016-08-17,"bar3","Barnsley Gawber","o3",39.835907,331,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"59",2016-08-17,2016-08-18,"bar3","Barnsley Gawber","o3",43.860043,331,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"60",2016-08-18,2016-08-19,"bar3","Barnsley Gawber","o3",51.60186,331,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"61",2016-08-15,2016-08-16,"bar3","Barnsley Gawber","no2",16.497391,332,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"62",2016-08-16,2016-08-17,"bar3","Barnsley Gawber","no2",14.55163,332,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"63",2016-08-17,2016-08-18,"bar3","Barnsley Gawber","no2",14.252283,332,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"64",2016-08-18,2016-08-19,"bar3","Barnsley Gawber","no2",13.698281,332,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"65",2016-08-15,2016-08-16,"bath","Bath Roadside","no2",45.828281,253,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"66",2016-08-16,2016-08-17,"bath","Bath Roadside","no2",47.310469,253,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"67",2016-08-17,2016-08-18,"bath","Bath Roadside","no2",55.247344,253,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"68",2016-08-18,2016-08-19,"bath","Bath Roadside","no2",54.091875,253,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"69",2016-08-15,2016-08-16,"bdma","Bradford Mayo Avenue","no2",56.841094,75241,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"70",2016-08-16,2016-08-17,"bdma","Bradford Mayo Avenue","no2",57.422812,75241,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"71",2016-08-17,2016-08-18,"bdma","Bradford Mayo Avenue","no2",62.204062,75241,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"72",2016-08-18,2016-08-19,"bdma","Bradford Mayo Avenue","no2",68.825054,75241,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"73",2016-08-15,2016-08-16,"bel1","Belfast Stockman's Lane","no2",39.33375,74642,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"74",2016-08-16,2016-08-17,"bel1","Belfast Stockman's Lane","no2",53.258967,74642,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"75",2016-08-17,2016-08-18,"bel1","Belfast Stockman's Lane","no2",59.080312,74642,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"76",2016-08-18,2016-08-19,"bel1","Belfast Stockman's Lane","no2",43.867969,74642,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
