"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"39",2016-09-24,2016-09-25,"far2","Fareham Portland Street","no2",37.851563,74732,12,1,24,"ugm-3","daily_mean",5,"aqe"
"40",2016-09-23,2016-09-24,"ga1","Gateshead A1 Dunston","no2",33.867188,74917,12,1,24,"ugm-3","daily_mean",5,"aqe"
"41",2016-09-24,2016-09-25,"ga1","Gateshead A1 Dunston","no2",19.364063,74917,12,1,24,"ugm-3","daily_mean",5,"aqe"
"42",2016-09-23,2016-09-24,"ga1","Gateshead A1 Dunston","pm25",8.416667,74919,12,1,111,"ugm-3 (TEOM)","daily_mean",11,"aqe"
"43",2016-09-24,2016-09-25,"ga1","Gateshead A1 Dunston","pm25",7.75,74919,12,1,111,"ugm-3 (TEOM)","daily_mean",11,"aqe"
"44",2016-09-23,2016-09-24,"ga2","Gateshead Bottle Bank","no2",40.321875,74921,12,1,24,"ugm-3","daily_mean",5,"aqe"
"45",2016-09-24,2016-09-25,"ga2","Gateshead Bottle Bank","no2",28.528125,74921,12,1,24,"ugm-3","daily_mean",5,"aqe"
"46",2016-09-23,2016-09-24,"ga3","Gateshead Lychgate Court","pm25",6.916667,74926,12,1,111,"ugm-3 (TEOM)","daily_mean",11,"aqe"
"47",2016-09-24,2016-09-25,"ga3","Gateshead Lychgate Court","pm25",7.25,74926,12,1,111,"ugm-3 (TEOM)","daily_mean",11,"aqe"
"48",2016-09-23,2016-09-24,"ga3","Gateshead Lychgate Court","no2",22.3125,74924,12,1,24,"ugm-3","daily_mean",5,"aqe"
"49",2016-09-24,2016-09-25,"ga3","Gateshead Lychgate Court","no2",15.220313,74924,12,1,24,"ugm-3","daily_mean",5,"aqe"
"50",2016-09-23,2016-09-24,"girt","Girton Road","pm25",NA,74671,12,1,112,"ugm-3 (BAM)","daily_mean",11,"aqe"
"51",2016-09-24,2016-09-25,"girt","Girton Road","pm25",NA,74671,12,1,112,"ugm-3 (BAM)","daily_mean",11,"aqe"
"52",2016-09-23,2016-09-24,"girt","Girton Road","no2",28.448438,74674,12,1,24,"ugm-3","daily_mean",5,"aqe"
"53",2016-09-24,2016-09-25,"girt","Girton Road","no2",7.729688,74674,12,1,24,"ugm-3","daily_mean",5,"aqe"
"54",2016-09-23,2016-09-24,"gos1","Tichborne Way","no2",31.715625,74743,12,1,24,"ugm-3","daily_mean",5,"aqe"
"55",2016-09-24,2016-09-25,"gos1","Tichborne Way","no2",34.185938,74743,12,1,24,"ugm-3","daily_mean",5,"aqe"
"56",2016-09-23,2016-09-24,"gx","South Bucks Gerrards Cross","no2",62.873438,72974,12,1,24,"ugm-3","daily_mean",5,"aqe"
"57",2016-09-24,2016-09-25,"gx","South Bucks Gerrards Cross","no2",43.03125,72974,12,1,24,"ugm-3","daily_mean",5,"aqe"
"58",2016-09-23,2016-09-24,"hen","Henley","no2",29.730682,74737,12,1,24,"ugm-3","daily_mean",5,"aqe"
"59",2016-09-24,2016-09-25,"hen","Henley","no2",35.620313,74737,12,1,24,"ugm-3","daily_mean",5,"aqe"
"60",2016-09-23,2016-09-24,"hi1","Hillingdon 1 - South Ruislip","no2",64.785938,74644,12,1,24,"ugm-3","daily_mean",5,"aqe"
"61",2016-09-24,2016-09-25,"hi1","Hillingdon 1 - South Ruislip","no2",43.03125,74644,12,1,24,"ugm-3","daily_mean",5,"aqe"
"62",2016-09-23,2016-09-24,"hi3","London Hillingdon Oxford Avenue","no2",34.903125,74654,12,1,24,"ugm-3","daily_mean",5,"aqe"
"63",2016-09-24,2016-09-25,"hi3","London Hillingdon Oxford Avenue","no2",21.595313,74654,12,1,24,"ugm-3","daily_mean",5,"aqe"
"64",2016-09-23,2016-09-24,"hil1","London Hillingdon Harmondsworth","no2",30.042188,70415,12,1,24,"ugm-3","daily_mean",5,"aqe"
"65",2016-09-24,2016-09-25,"hil1","London Hillingdon Harmondsworth","no2",32.592188,70415,12,1,24,"ugm-3","daily_mean",5,"aqe"
"66",2016-09-23,2016-09-24,"hil4","London Hillingdon Harmondsworth Os","pm25",4,70422,12,1,117,"ugm-3 (Osiris)","daily_mean",11,"aqe"
"67",2016-09-24,2016-09-25,"hil4","London Hillingdon Harmondsworth Os","pm25",4.125,70422,12,1,117,"ugm-3 (Osiris)","daily_mean",11,"aqe"
"68",2016-09-23,2016-09-24,"hil5","London Hillingdon Hayes","no2",62.634375,70341,12,1,24,"ugm-3","daily_mean",5,"aqe"
"69",2016-09-24,2016-09-25,"hil5","London Hillingdon Hayes","no2",46.776563,70341,12,1,24,"ugm-3","daily_mean",5,"aqe"
"70",2016-09-23,2016-09-24,"hs2","Hounslow Cranford","no2",30.201563,74682,12,1,24,"ugm-3","daily_mean",5,"aqe"
"71",2016-09-24,2016-09-25,"hs2","Hounslow Cranford","no2",17.770313,74682,12,1,24,"ugm-3","daily_mean",5,"aqe"
"72",2016-09-23,2016-09-24,"hs2","Hounslow Cranford","o3",26.551487,74685,12,1,24,"ugm-3","daily_mean",9,"aqe"
"73",2016-09-24,2016-09-25,"hs2","Hounslow Cranford","o3",53.363283,74685,12,1,24,"ugm-3","daily_mean",9,"aqe"
