"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"37",2016-08-15,2016-08-16,"acth","Auchencorth Moss","pm25",2.2375,2386,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",17,"scor"
"38",2016-08-16,2016-08-17,"acth","Auchencorth Moss","pm25",9.183333,2386,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",17,"scor"
"39",2016-08-17,2016-08-18,"acth","Auchencorth Moss","pm25",8.181818,2386,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",17,"scor"
"40",2016-08-18,2016-08-19,"acth","Auchencorth Moss","pm25",8.447826,2386,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",17,"scor"
"41",2016-08-15,2016-08-16,"acth","Auchencorth Moss","o3",39.390129,2316,12,1,24,"ugm-3","daily_mean",15,"scor"
"42",2016-08-16,2016-08-17,"acth","Auchencorth Moss","o3",63.35516,2316,12,1,24,"ugm-3","daily_mean",15,"scor"
"43",2016-08-17,2016-08-18,"acth","Auchencorth Moss","o3",NA,2316,12,1,24,"ugm-3","daily_mean",15,"scor"
"44",2016-08-18,2016-08-19,"acth","Auchencorth Moss","o3",NA,2316,12,1,24,"ugm-3","daily_mean",15,"scor"
"45",2016-08-15,2016-08-16,"ad1","Aberdeen King Street","no2",20.621739,2614,12,1,24,"ugm-3","daily_mean",3,"saun"
"46",2016-08-16,2016-08-17,"ad1","Aberdeen King Street","no2",22.95,2614,12,1,24,"ugm-3","daily_mean",3,"saun"
"47",2016-08-17,2016-08-18,"ad1","Aberdeen King Street","no2",17.96087,2614,12,1,24,"ugm-3","daily_mean",3,"saun"
"48",2016-08-18,2016-08-19,"ad1","Aberdeen King Street","no2",27.689674,2614,12,1,24,"ugm-3","daily_mean",3,"saun"
"49",2016-08-15,2016-08-16,"alo2","Alloa A907","no2",19.045312,3268,12,1,24,"ugm-3","daily_mean",3,"saun"
"50",2016-08-16,2016-08-17,"alo2","Alloa A907","no2",26.854688,3268,12,1,24,"ugm-3","daily_mean",3,"saun"
"51",2016-08-17,2016-08-18,"alo2","Alloa A907","no2",21.515625,3268,12,1,24,"ugm-3","daily_mean",3,"saun"
"52",2016-08-18,2016-08-19,"alo2","Alloa A907","no2",20.559375,3268,12,1,24,"ugm-3","daily_mean",3,"saun"
"53",2016-08-15,2016-08-16,"ayr","South Ayrshire Ayr High St","no2",39.84375,2506,12,1,24,"ugm-3","daily_mean",3,"saun"
"54",2016-08-16,2016-08-17,"ayr","South Ayrshire Ayr High St","no2",63.1125,2506,12,1,24,"ugm-3","daily_mean",3,"saun"
"55",2016-08-17,2016-08-18,"ayr","South Ayrshire Ayr High St","no2",59.765625,2506,12,1,24,"ugm-3","daily_mean",3,"saun"
"56",2016-08-18,2016-08-19,"ayr","South Ayrshire Ayr High St","no2",31.954688,2506,12,1,24,"ugm-3","daily_mean",3,"saun"
"57",2016-08-15,2016-08-16,"brx","West Lothian Broxburn","no2",37.453125,2527,12,1,24,"ugm-3","daily_mean",3,"saun"
"58",2016-08-16,2016-08-17,"brx","West Lothian Broxburn","no2",40.879688,2527,12,1,24,"ugm-3","daily_mean",3,"saun"
"59",2016-08-17,2016-08-18,"brx","West Lothian Broxburn","no2",43.270312,2527,12,1,24,"ugm-3","daily_mean",3,"saun"
"60",2016-08-18,2016-08-19,"brx","West Lothian Broxburn","no2",40.321875,2527,12,1,24,"ugm-3","daily_mean",3,"saun"
"61",2016-08-15,2016-08-16,"bush","Bush Estate","o3",NA,2010,12,1,24,"ugm-3","daily_mean",15,"scor"
"62",2016-08-16,2016-08-17,"bush","Bush Estate","o3",NA,2010,12,1,24,"ugm-3","daily_mean",15,"scor"
"63",2016-08-17,2016-08-18,"bush","Bush Estate","o3",41.668553,2010,12,1,24,"ugm-3","daily_mean",15,"scor"
"64",2016-08-18,2016-08-19,"bush","Bush Estate","o3",40.562602,2010,12,1,24,"ugm-3","daily_mean",15,"scor"
"65",2016-08-15,2016-08-16,"bush","Bush Estate","no2",NA,2011,12,1,24,"ugm-3","daily_mean",13,"scor"
"66",2016-08-16,2016-08-17,"bush","Bush Estate","no2",NA,2011,12,1,24,"ugm-3","daily_mean",13,"scor"
"67",2016-08-17,2016-08-18,"bush","Bush Estate","no2",11.076562,2011,12,1,24,"ugm-3","daily_mean",13,"scor"
"68",2016-08-18,2016-08-19,"bush","Bush Estate","no2",10.64625,2011,12,1,24,"ugm-3","daily_mean",13,"scor"
"69",2016-08-15,2016-08-16,"cupa","Fife Cupar","no2",17.770312,2288,12,1,24,"ugm-3","daily_mean",3,"saun"
"70",2016-08-16,2016-08-17,"cupa","Fife Cupar","no2",15.459375,2288,12,1,24,"ugm-3","daily_mean",3,"saun"
"71",2016-08-17,2016-08-18,"cupa","Fife Cupar","no2",15.698438,2288,12,1,24,"ugm-3","daily_mean",3,"saun"
"72",2016-08-18,2016-08-19,"cupa","Fife Cupar","no2",15.778125,2288,12,1,24,"ugm-3","daily_mean",3,"saun"
"73",2016-08-15,2016-08-16,"dumf","Dumfries","no2",22.973906,2015,12,1,24,"ugm-3","daily_mean",3,"saun"
"74",2016-08-16,2016-08-17,"dumf","Dumfries","no2",32.32125,2015,12,1,24,"ugm-3","daily_mean",3,"saun"
"75",2016-08-17,2016-08-18,"dumf","Dumfries","no2",30.345,2015,12,1,24,"ugm-3","daily_mean",3,"saun"
"76",2016-08-18,2016-08-19,"dumf","Dumfries","no2",23.767159,2015,12,1,24,"ugm-3","daily_mean",3,"saun"
"77",2016-08-15,2016-08-16,"dun1","Dundee Mains Loan","no2",NA,2795,12,1,24,"ugm-3","daily_mean",3,"saun"
"78",2016-08-15,2016-08-16,"dun4","Dundee Broughty Ferry Road","no2",9.084375,3299,12,1,24,"ugm-3","daily_mean",3,"saun"
"79",2016-08-16,2016-08-17,"dun4","Dundee Broughty Ferry Road","no2",13.467187,3299,12,1,24,"ugm-3","daily_mean",3,"saun"
"80",2016-08-17,2016-08-18,"dun4","Dundee Broughty Ferry Road","no2",11.15625,3299,12,1,24,"ugm-3","daily_mean",3,"saun"
"81",2016-08-18,2016-08-19,"dun4","Dundee Broughty Ferry Road","no2",13.228125,3299,12,1,24,"ugm-3","daily_mean",3,"saun"
"82",2016-08-15,2016-08-16,"dun5","Dundee Seagate","no2",46.298437,2299,12,1,24,"ugm-3","daily_mean",3,"saun"
"83",2016-08-16,2016-08-17,"dun5","Dundee Seagate","no2",50.601562,2299,12,1,24,"ugm-3","daily_mean",3,"saun"
"84",2016-08-17,2016-08-18,"dun5","Dundee Seagate","no2",45.740625,2299,12,1,24,"ugm-3","daily_mean",3,"saun"
"85",2016-08-18,2016-08-19,"dun5","Dundee Seagate","no2",49.804688,2299,12,1,24,"ugm-3","daily_mean",3,"saun"
"86",2016-08-15,2016-08-16,"dun7","Dundee Whitehall Street","no2",39.445312,2302,12,1,24,"ugm-3","daily_mean",3,"saun"
"87",2016-08-16,2016-08-17,"dun7","Dundee Whitehall Street","no2",44.465625,2302,12,1,24,"ugm-3","daily_mean",3,"saun"
"88",2016-08-17,2016-08-18,"dun7","Dundee Whitehall Street","no2",39.285938,2302,12,1,24,"ugm-3","daily_mean",3,"saun"
"89",2016-08-18,2016-08-19,"dun7","Dundee Whitehall Street","no2",NA,2302,12,1,24,"ugm-3","daily_mean",3,"saun"
"90",2016-08-16,2016-08-17,"dunf","Fife Dunfermline","no2",NA,2360,12,1,24,"ugm-3","daily_mean",3,"saun"
"91",2016-08-17,2016-08-18,"dunf","Fife Dunfermline","no2",12.271875,2360,12,1,24,"ugm-3","daily_mean",3,"saun"
"92",2016-08-18,2016-08-19,"dunf","Fife Dunfermline","no2",NA,2360,12,1,24,"ugm-3","daily_mean",3,"saun"
"93",2016-08-15,2016-08-16,"ed1","Edinburgh St John's Road","no2",36.576563,2462,12,1,24,"ugm-3","daily_mean",3,"saun"
"94",2016-08-16,2016-08-17,"ed1","Edinburgh St John's Road","no2",38.409375,2462,12,1,24,"ugm-3","daily_mean",3,"saun"
"95",2016-08-17,2016-08-18,"ed1","Edinburgh St John's Road","no2",28.289062,2462,12,1,24,"ugm-3","daily_mean",3,"saun"
"96",2016-08-18,2016-08-19,"ed1","Edinburgh St John's Road","no2",27.810938,2462,12,1,24,"ugm-3","daily_mean",3,"saun"
"97",2016-08-15,2016-08-16,"ed10","Edinburgh Glasgow Road","no2",16.096875,2863,12,1,24,"ugm-3","daily_mean",3,"saun"
"98",2016-08-16,2016-08-17,"ed10","Edinburgh Glasgow Road","no2",17.451563,2863,12,1,24,"ugm-3","daily_mean",3,"saun"
"99",2016-08-17,2016-08-18,"ed10","Edinburgh Glasgow Road","no2",18.009375,2863,12,1,24,"ugm-3","daily_mean",3,"saun"
"100",2016-08-18,2016-08-19,"ed10","Edinburgh Glasgow Road","no2",13.546875,2863,12,1,24,"ugm-3","daily_mean",3,"saun"
"101",2016-08-15,2016-08-16,"ed11","Edinburgh Currie","no2",7.570312,3172,12,1,24,"ugm-3","daily_mean",3,"saun"
"102",2016-08-16,2016-08-17,"ed11","Edinburgh Currie","no2",13.865625,3172,12,1,24,"ugm-3","daily_mean",3,"saun"
"103",2016-08-17,2016-08-18,"ed11","Edinburgh Currie","no2",12.909375,3172,12,1,24,"ugm-3","daily_mean",3,"saun"
"104",2016-08-18,2016-08-19,"ed11","Edinburgh Currie","no2",12.22337,3172,12,1,24,"ugm-3","daily_mean",3,"saun"
"105",2016-08-15,2016-08-16,"ed3","Edinburgh St Leonards","no2",NA,2053,12,1,24,"ugm-3","daily_mean",3,"saun"
"106",2016-08-16,2016-08-17,"ed3","Edinburgh St Leonards","no2",24.703125,2053,12,1,24,"ugm-3","daily_mean",3,"saun"
"107",2016-08-17,2016-08-18,"ed3","Edinburgh St Leonards","no2",17.746406,2053,12,1,24,"ugm-3","daily_mean",3,"saun"
"108",2016-08-18,2016-08-19,"ed3","Edinburgh St Leonards","no2",14.949375,2053,12,1,24,"ugm-3","daily_mean",3,"saun"
"109",2016-08-15,2016-08-16,"ed3","Edinburgh St Leonards","pm25",NA,2541,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"saun"
"110",2016-08-16,2016-08-17,"ed3","Edinburgh St Leonards","pm25",14.5625,2541,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"saun"
"111",2016-08-17,2016-08-18,"ed3","Edinburgh St Leonards","pm25",11.045833,2541,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"saun"
"112",2016-08-18,2016-08-19,"ed3","Edinburgh St Leonards","pm25",12.258333,2541,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"saun"
"113",2016-08-15,2016-08-16,"ed3","Edinburgh St Leonards","o3",NA,2054,12,1,24,"ugm-3","daily_mean",5,"saun"
"114",2016-08-16,2016-08-17,"ed3","Edinburgh St Leonards","o3",40.121885,2054,12,1,24,"ugm-3","daily_mean",5,"saun"
"115",2016-08-17,2016-08-18,"ed3","Edinburgh St Leonards","o3",39.456652,2054,12,1,24,"ugm-3","daily_mean",5,"saun"
"116",2016-08-18,2016-08-19,"ed3","Edinburgh St Leonards","o3",43.622676,2054,12,1,24,"ugm-3","daily_mean",5,"saun"
"117",2016-08-15,2016-08-16,"ed3","Edinburgh St Leonards","co",NA,2051,12,1,27,"mgm-3","daily_mean",1,"saun"
"118",2016-08-16,2016-08-17,"ed3","Edinburgh St Leonards","co",NA,2051,12,1,27,"mgm-3","daily_mean",1,"saun"
"119",2016-08-17,2016-08-18,"ed3","Edinburgh St Leonards","co",NA,2051,12,1,27,"mgm-3","daily_mean",1,"saun"
"120",2016-08-18,2016-08-19,"ed3","Edinburgh St Leonards","co",NA,2051,12,1,27,"mgm-3","daily_mean",1,"saun"
"121",2016-08-15,2016-08-16,"ed5","Edinburgh Gorgie Road","no2",31.715625,2611,12,1,24,"ugm-3","daily_mean",3,"saun"
"122",2016-08-16,2016-08-17,"ed5","Edinburgh Gorgie Road","no2",40.640625,2611,12,1,24,"ugm-3","daily_mean",3,"saun"
"123",2016-08-17,2016-08-18,"ed5","Edinburgh Gorgie Road","no2",36.01875,2611,12,1,24,"ugm-3","daily_mean",3,"saun"
"124",2016-08-18,2016-08-19,"ed5","Edinburgh Gorgie Road","no2",NA,2611,12,1,24,"ugm-3","daily_mean",3,"saun"
"125",2016-08-15,2016-08-16,"ed8","Edinburgh Salamander St","no2",29.245312,2697,12,1,24,"ugm-3","daily_mean",3,"saun"
"126",2016-08-16,2016-08-17,"ed8","Edinburgh Salamander St","no2",27.173438,2697,12,1,24,"ugm-3","daily_mean",3,"saun"
"127",2016-08-17,2016-08-18,"ed8","Edinburgh Salamander St","no2",22.153125,2697,12,1,24,"ugm-3","daily_mean",3,"saun"
"128",2016-08-18,2016-08-19,"ed8","Edinburgh Salamander St","no2",18.646875,2697,12,1,24,"ugm-3","daily_mean",3,"saun"
"129",2016-08-15,2016-08-16,"ed9","Edinburgh Queensferry Road","no2",47.573438,2785,12,1,24,"ugm-3","daily_mean",3,"saun"
"130",2016-08-16,2016-08-17,"ed9","Edinburgh Queensferry Road","no2",48.370312,2785,12,1,24,"ugm-3","daily_mean",3,"saun"
"131",2016-08-17,2016-08-18,"ed9","Edinburgh Queensferry Road","no2",47.254688,2785,12,1,24,"ugm-3","daily_mean",3,"saun"
"132",2016-08-18,2016-08-19,"ed9","Edinburgh Queensferry Road","no2",48.928125,2785,12,1,24,"ugm-3","daily_mean",3,"saun"
"133",2016-08-15,2016-08-16,"edb1","East Dunbartonshire Bishopbriggs","no2",18.965625,2346,12,1,24,"ugm-3","daily_mean",3,"saun"
"134",2016-08-16,2016-08-17,"edb1","East Dunbartonshire Bishopbriggs","no2",28.252841,2346,12,1,24,"ugm-3","daily_mean",3,"saun"
"135",2016-08-17,2016-08-18,"edb1","East Dunbartonshire Bishopbriggs","no2",28.209375,2346,12,1,24,"ugm-3","daily_mean",3,"saun"
"136",2016-08-18,2016-08-19,"edb1","East Dunbartonshire Bishopbriggs","no2",23.5875,2346,12,1,24,"ugm-3","daily_mean",3,"saun"
"137",2016-08-15,2016-08-16,"edb2","East Dunbartonshire Bearsden","no2",24.775568,2351,12,1,24,"ugm-3","daily_mean",3,"saun"
"138",2016-08-16,2016-08-17,"edb2","East Dunbartonshire Bearsden","no2",31.317188,2351,12,1,24,"ugm-3","daily_mean",3,"saun"
"139",2016-08-17,2016-08-18,"edb2","East Dunbartonshire Bearsden","no2",38.489062,2351,12,1,24,"ugm-3","daily_mean",3,"saun"
