"","date","date_end","site","site_name","variable","value","network_id","longitude","latitude","site_type","database_name"
"63",2016-08-15,2016-08-16,"tam1","Tameside Mottram Moor","no2",55.382813,"aqe",-2.005694,53.458994,"roadside","aqengland"
"64",2016-08-15,2016-08-16,"tame","Tameside Two Trees School","no2",10.598438,"aqe",-2.098802,53.445847,"urban_background","aqengland"
"65",2016-08-15,2016-08-16,"traf","Trafford","no2",24.225,"aqe",-2.320941,53.448876,"urban_background","aqengland"
"66",2016-08-15,2016-08-16,"trf2","Trafford A56","no2",29.404688,"aqe",-2.311421,53.442476,"roadside","aqengland"
"67",2016-08-15,2016-08-16,"wat","Watlington","no2",25.61087,"aqe",-1.004394,51.645112,"roadside","aqengland"
"69",2016-08-15,2016-08-16,"wid2","Widnes Marzahn Way","no2",29.64375,"aqe",-2.722289,53.371193,"kerbside","aqengland"
"70",2016-08-15,2016-08-16,"wil3","Devizes, Sidmouth Street","no2",33.707813,"aqe",-1.990416,51.352198,"roadside","aqengland"
"71",2016-08-15,2016-08-16,"wil4","Salisbury, Exeter Street","no2",29.404688,"aqe",-1.793793,51.065247,"roadside","aqengland"
"72",2016-08-15,2016-08-16,"wil8","Calne London Road","no2",23.746875,"aqe",-2.00255,51.43534,"roadside","aqengland"
"73",2016-08-15,2016-08-16,"wl1","Waltham Forest Dawlish Rd","no2",16.335938,"aqe",-0.004898,51.562376,"urban_background","aqengland"
"74",2016-08-15,2016-08-16,"wl4","Waltham Crooked Billet","no2",45.58125,"aqe",-0.016442,51.601728,"kerbside","aqengland"
"75",2016-08-15,2016-08-16,"wl5","Waltham Forest Leyton","no2",18.567188,"aqe",-0.013628,51.556239,"roadside","aqengland"
"76",2016-08-15,2016-08-16,"wsto","Wycombe Stokenchurch","no2",11.79375,"aqe",-0.894158,51.652503,NA,"aqengland"
"77",2016-08-15,2016-08-16,"wya4","Wycombe Abbey 4","no2",21.196875,"aqe",-0.75436,51.624072,"urban_background","aqengland"
"78",2016-08-15,2016-08-16,"yk10","York Bootham","no2",9.989915,"aqe",-1.086538,53.967646,"roadside","aqengland"
"79",2016-08-15,2016-08-16,"yk13","York Heworth Green","no2",20.71875,"aqe",-1.070219,53.965951,"roadside","aqengland"
"80",2016-08-15,2016-08-16,"yk15","York Nunnery Lane","no2",29.085938,"aqe",-1.086275,53.953411,"roadside","aqengland"
"81",2016-08-15,2016-08-16,"yk16","York Fulford Road","no2",12.510938,"aqe",-1.073861,53.937787,"roadside","aqengland"
"82",2016-08-15,2016-08-16,"yk7","York Gillygate","no2",23.985938,"aqe",-1.085679,53.963805,"roadside","aqengland"
"83",2016-08-15,2016-08-16,"yk8","York Holgate","no2",29.484375,"aqe",-1.094639,53.954167,"roadside","aqengland"
"84",2016-08-15,2016-08-16,"yk9","York Lawrence Street","no2",33.867188,"aqe",-1.068241,53.954663,"roadside","aqengland"
