"","site_network_id","site","variable","date_started","date_ended","data_table","site_name","latitude","longitude","altitude","network_parameter_id","network_id","network_name","site_type","region","agglomeration","database_name","site_friendly","variable_friendly"
"30",2001,"ABD","CO",1999-09-18,2007-12-31,"measurement","Aberdeen Errol Place",57.15736,-2.094278,"5",1,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd","co"
"31",2619,"ABD","NV10",2009-02-20,NA,"measurement","Aberdeen Errol Place",57.15736,-2.094278,"5",1007,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd","nv10"
"32",2005,"ABD","GE10",1999-09-18,NA,"measurement","Aberdeen Errol Place",57.15736,-2.094278,"5",6,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd","ge10"
"33",2002,"ABD","NO",1999-09-18,NA,"measurement","Aberdeen Errol Place",57.15736,-2.094278,"5",2,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd","no"
"34",2620,"ABD","V10",2009-02-20,NA,"measurement","Aberdeen Errol Place",57.15736,-2.094278,"5",1008,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd","v10"
"35",2872,"ABD","M_T",2010-08-01,NA,"measurement","Aberdeen Errol Place",57.15736,-2.094278,"5",1372,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd","temp"
"36",2617,"AD1","PM10",2008-11-25,NA,"measurement","Aberdeen King Street",57.169738,-2.095348,NA,999,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","ad1","pm10"
"37",2887,"AD1","M_T",2010-08-01,NA,"measurement","Aberdeen King Street",57.169738,-2.095348,NA,1372,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","ad1","temp"
"38",2614,"AD1","NO2",2008-11-25,NA,"measurement","Aberdeen King Street",57.169738,-2.095348,NA,3,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","ad1","no2"
"39",2888,"AD1","M_SPED",2010-08-01,NA,"measurement","Aberdeen King Street",57.169738,-2.095348,NA,1373,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","ad1","ws"
"40",2615,"AD1","GE10",2008-11-25,NA,"measurement","Aberdeen King Street",57.169738,-2.095348,NA,6,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","ad1","ge10"
"41",2889,"AD1","M_DIR",2010-08-01,NA,"measurement","Aberdeen King Street",57.169738,-2.095348,NA,1374,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","ad1","wd"
"42",2616,"AD1","NOXasNO2",2008-11-25,NA,"measurement","Aberdeen King Street",57.169738,-2.095348,NA,9,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","ad1","nox"
"43",2613,"AD1","NO",2008-11-25,NA,"measurement","Aberdeen King Street",57.169738,-2.095348,NA,2,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","ad1","no"
"44",2254,"ABD2","NOXasNO2",2005-01-01,2009-01-19,"measurement","Aberdeen Market St",57.143889,-2.093889,"6",9,"saun","Scottish Automatic Urban Network","kerbside","North East Scotland",NA,"scotarc","abd2","nox"
"45",2251,"ABD2","NO",2005-01-01,2009-01-19,"measurement","Aberdeen Market St",57.143889,-2.093889,"6",2,"saun","Scottish Automatic Urban Network","kerbside","North East Scotland",NA,"scotarc","abd2","no"
